Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Home Tipper Link,Away Tipper,Away Tipper Link,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
202101220SAC,https://www.basketball-reference.com/boxscores/pbp/202101220SAC.html,Sacramento Kings,New York Knicks,SAC,NYK,R. Holmes,/players/h/holmeri01.html,M. Robinson,/players/r/robinmi01.html,D. Fox,SAC,NYK,D. Fox,/players/f/foxde01.html,SAC,NYK,R. Holmes,/players/h/holmeri01.html,M. Robinson,/players/r/robinmi01.html,1.0
202101230BRK,https://www.basketball-reference.com/boxscores/pbp/202101230BRK.html,Brooklyn Nets,Miami Heat,BRK,MIA,D. Jordan,/players/j/jordade01.html,B. Adebayo,/players/a/adebaba01.html,J. Harris,MIA,BRK,G. Dragić,/players/d/dragigo01.html,BRK,MIA,B. Adebayo,/players/a/adebaba01.html,D. Jordan,/players/j/jordade01.html,0.0
202101230DET,https://www.basketball-reference.com/boxscores/pbp/202101230DET.html,Detroit Pistons,Philadelphia 76ers,DET,PHI,M. Plumlee,/players/p/plumlma01.html,J. Embiid,/players/e/embiijo01.html,J. Embiid,PHI,DET,S. Curry,/players/c/curryse01.html,PHI,DET,J. Embiid,/players/e/embiijo01.html,M. Plumlee,/players/p/plumlma01.html,1.0
202101230MIN,https://www.basketball-reference.com/boxscores/pbp/202101230MIN.html,Minnesota Timberwolves,New Orleans Pelicans,MIN,NOP,N. Reid,/players/r/reidna01.html,S. Adams,/players/a/adamsst01.html,M. Beasley,MIN,NOP,M. Beasley,/players/b/beaslma01.html,MIN,NOP,N. Reid,/players/r/reidna01.html,S. Adams,/players/a/adamsst01.html,1.0
202101230CHI,https://www.basketball-reference.com/boxscores/pbp/202101230CHI.html,Chicago Bulls,Los Angeles Lakers,CHI,LAL,D. Gafford,/players/g/gaffoda01.html,A. Davis,/players/d/davisan02.html,A. Davis,LAL,CHI,D. Schröder,/players/s/schrode01.html,LAL,CHI,A. Davis,/players/d/davisan02.html,D. Gafford,/players/g/gaffoda01.html,1.0
202101230DAL,https://www.basketball-reference.com/boxscores/pbp/202101230DAL.html,Dallas Mavericks,Houston Rockets,DAL,HOU,W. Cauley-Stein,/players/c/caulewi01.html,D. Cousins,/players/c/couside01.html,D. Cousins,HOU,DAL,P. Tucker,/players/t/tuckepj01.html,HOU,DAL,D. Cousins,/players/c/couside01.html,W. Cauley-Stein,/players/c/caulewi01.html,1.0
202101230PHO,https://www.basketball-reference.com/boxscores/pbp/202101230PHO.html,Phoenix Suns,Denver Nuggets,PHO,DEN,D. Ayton,/players/a/aytonde01.html,N. Jokić,/players/j/jokicni01.html,D. Ayton,DEN,PHO,P. Millsap,/players/m/millspa01.html,PHO,DEN,N. Jokić,/players/j/jokicni01.html,D. Ayton,/players/a/aytonde01.html,0.0
202101230UTA,https://www.basketball-reference.com/boxscores/pbp/202101230UTA.html,Utah Jazz,Golden State Warriors,UTA,GSW,R. Gobert,/players/g/goberru01.html,J. Wiseman,/players/w/wisemja01.html,R. O'Neale,UTA,GSW,R. O'Neale,/players/o/onealro01.html,UTA,GSW,R. Gobert,/players/g/goberru01.html,J. Wiseman,/players/w/wisemja01.html,1.0
202101240IND,https://www.basketball-reference.com/boxscores/pbp/202101240IND.html,Indiana Pacers,Toronto Raptors,IND,TOR,M. Turner,/players/t/turnemy01.html,A. Baynes,/players/b/baynear01.html,A. Baynes,TOR,IND,F. VanVleet,/players/v/vanvlfr01.html,TOR,IND,A. Baynes,/players/b/baynear01.html,M. Turner,/players/t/turnemy01.html,1.0
202101240LAC,https://www.basketball-reference.com/boxscores/pbp/202101240LAC.html,Los Angeles Clippers,Oklahoma City Thunder,LAC,OKC,S. Ibaka,/players/i/ibakase01.html,I. Roby,/players/r/robyis01.html,S. Ibaka,LAC,OKC,P. Beverley,/players/b/beverpa01.html,LAC,OKC,S. Ibaka,/players/i/ibakase01.html,I. Roby,/players/r/robyis01.html,1.0
202101240BOS,https://www.basketball-reference.com/boxscores/pbp/202101240BOS.html,Boston Celtics,Cleveland Cavaliers,BOS,CLE,T. Thompson,/players/t/thomptr01.html,A. Drummond,/players/d/drumman01.html,A. Drummond,CLE,BOS,C. Osman,/players/o/osmande01.html,CLE,BOS,A. Drummond,/players/d/drumman01.html,T. Thompson,/players/t/thomptr01.html,1.0
202101240ORL,https://www.basketball-reference.com/boxscores/pbp/202101240ORL.html,Orlando Magic,Charlotte Hornets,ORL,CHO,N. Vučević,/players/v/vucevni01.html,B. Biyombo,/players/b/biyombi01.html,N. Vučević,CHO,ORL,P. Washington,/players/w/washipj01.html,ORL,CHO,B. Biyombo,/players/b/biyombi01.html,N. Vučević,/players/v/vucevni01.html,0.0
202101240MIL,https://www.basketball-reference.com/boxscores/pbp/202101240MIL.html,Milwaukee Bucks,Atlanta Hawks,MIL,ATL,B. Lopez,/players/l/lopezbr01.html,J. Collins,/players/c/collijo01.html,G. Antetokounmpo,MIL,ATL,G. Antetokounmpo,/players/a/antetgi01.html,MIL,ATL,B. Lopez,/players/l/lopezbr01.html,J. Collins,/players/c/collijo01.html,1.0
202101240SAS,https://www.basketball-reference.com/boxscores/pbp/202101240SAS.html,San Antonio Spurs,Washington Wizards,SAS,WAS,L. Aldridge,/players/a/aldrila01.html,R. Lopez,/players/l/lopezro01.html,J. Robinson,SAS,WAS,D. Murray,/players/m/murrade01.html,WAS,SAS,L. Aldridge,/players/a/aldrila01.html,R. Lopez,/players/l/lopezro01.html,0.0
202101240POR,https://www.basketball-reference.com/boxscores/pbp/202101240POR.html,Portland Trail Blazers,New York Knicks,POR,NYK,E. Kanter,/players/k/kanteen01.html,M. Robinson,/players/r/robinmi01.html,R. Barrett,NYK,POR,J. Randle,/players/r/randlju01.html,NYK,POR,M. Robinson,/players/r/robinmi01.html,E. Kanter,/players/k/kanteen01.html,1.0
202101250DET,https://www.basketball-reference.com/boxscores/pbp/202101250DET.html,Detroit Pistons,Philadelphia 76ers,DET,PHI,B. Griffin,/players/g/griffbl01.html,D. Howard,/players/h/howardw01.html,W. Ellington,DET,PHI,B. Griffin,/players/g/griffbl01.html,DET,PHI,B. Griffin,/players/g/griffbl01.html,D. Howard,/players/h/howardw01.html,1.0
202101250IND,https://www.basketball-reference.com/boxscores/pbp/202101250IND.html,Indiana Pacers,Toronto Raptors,IND,TOR,M. Turner,/players/t/turnemy01.html,A. Baynes,/players/b/baynear01.html,A. Baynes,IND,TOR,D. Sabonis,/players/s/sabondo01.html,TOR,IND,M. Turner,/players/t/turnemy01.html,A. Baynes,/players/b/baynear01.html,0.0
202101250ORL,https://www.basketball-reference.com/boxscores/pbp/202101250ORL.html,Orlando Magic,Charlotte Hornets,ORL,CHO,N. Vučević,/players/v/vucevni01.html,B. Biyombo,/players/b/biyombi01.html,T. Rozier,CHO,ORL,D. Graham,/players/g/grahade01.html,CHO,ORL,B. Biyombo,/players/b/biyombi01.html,N. Vučević,/players/v/vucevni01.html,1.0
202101250BRK,https://www.basketball-reference.com/boxscores/pbp/202101250BRK.html,Brooklyn Nets,Miami Heat,BRK,MIA,D. Jordan,/players/j/jordade01.html,B. Adebayo,/players/a/adebaba01.html,D. Robinson,MIA,BRK,G. Dragić,/players/d/dragigo01.html,MIA,BRK,B. Adebayo,/players/a/adebaba01.html,D. Jordan,/players/j/jordade01.html,1.0
202101250CLE,https://www.basketball-reference.com/boxscores/pbp/202101250CLE.html,Cleveland Cavaliers,Los Angeles Lakers,CLE,LAL,A. Drummond,/players/d/drumman01.html,A. Davis,/players/d/davisan02.html,K. Caldwell-Pope,CLE,LAL,C. Sexton,/players/s/sextoco01.html,LAL,CLE,A. Drummond,/players/d/drumman01.html,A. Davis,/players/d/davisan02.html,0.0
202101250DAL,https://www.basketball-reference.com/boxscores/pbp/202101250DAL.html,Dallas Mavericks,Denver Nuggets,DAL,DEN,K. Porziņģis,/players/p/porzikr01.html,N. Jokić,/players/j/jokicni01.html,G. Harris,DAL,DEN,J. Brunson,/players/b/brunsja01.html,DEN,DAL,K. Porziņģis,/players/p/porzikr01.html,N. Jokić,/players/j/jokicni01.html,0.0
202101250CHI,https://www.basketball-reference.com/boxscores/pbp/202101250CHI.html,Chicago Bulls,Boston Celtics,CHI,BOS,D. Gafford,/players/g/gaffoda01.html,T. Thompson,/players/t/thomptr01.html,J. Brown,BOS,CHI,J. Brown,/players/b/brownja02.html,BOS,CHI,T. Thompson,/players/t/thomptr01.html,D. Gafford,/players/g/gaffoda01.html,1.0
202101250GSW,https://www.basketball-reference.com/boxscores/pbp/202101250GSW.html,Golden State Warriors,Minnesota Timberwolves,GSW,MIN,K. Looney,/players/l/looneke01.html,N. Reid,/players/r/reidna01.html,A. Wiggins,MIN,GSW,J. Vanderbilt,/players/v/vandeja01.html,GSW,MIN,N. Reid,/players/r/reidna01.html,K. Looney,/players/l/looneke01.html,0.0
202101250POR,https://www.basketball-reference.com/boxscores/pbp/202101250POR.html,Portland Trail Blazers,Oklahoma City Thunder,POR,OKC,E. Kanter,/players/k/kanteen01.html,I. Roby,/players/r/robyis01.html,D. Jones,OKC,POR,S. Gilgeous-Alexander,/players/g/gilgesh01.html,POR,OKC,I. Roby,/players/r/robyis01.html,E. Kanter,/players/k/kanteen01.html,0.0
202101260ATL,https://www.basketball-reference.com/boxscores/pbp/202101260ATL.html,Atlanta Hawks,Los Angeles Clippers,ATL,LAC,C. Capela,/players/c/capelca01.html,S. Ibaka,/players/i/ibakase01.html,L. Kennard,ATL,LAC,J. Collins,/players/c/collijo01.html,LAC,ATL,C. Capela,/players/c/capelca01.html,S. Ibaka,/players/i/ibakase01.html,0.0
202101260HOU,https://www.basketball-reference.com/boxscores/pbp/202101260HOU.html,Houston Rockets,Washington Wizards,HOU,WAS,D. Cousins,/players/c/couside01.html,R. Lopez,/players/l/lopezro01.html,R. Lopez,WAS,HOU,A. Gill,/players/g/gillan01.html,WAS,HOU,R. Lopez,/players/l/lopezro01.html,D. Cousins,/players/c/couside01.html,1.0
202101260UTA,https://www.basketball-reference.com/boxscores/pbp/202101260UTA.html,Utah Jazz,New York Knicks,UTA,NYK,R. Gobert,/players/g/goberru01.html,M. Robinson,/players/r/robinmi01.html,J. Randle,NYK,UTA,E. Payton,/players/p/paytoel01.html,NYK,UTA,M. Robinson,/players/r/robinmi01.html,R. Gobert,/players/g/goberru01.html,1.0
202101270CHO,https://www.basketball-reference.com/boxscores/pbp/202101270CHO.html,Charlotte Hornets,Indiana Pacers,CHO,IND,C. Zeller,/players/z/zelleco01.html,M. Turner,/players/t/turnemy01.html,D. Graham,IND,CHO,D. Sabonis,/players/s/sabondo01.html,CHO,IND,M. Turner,/players/t/turnemy01.html,C. Zeller,/players/z/zelleco01.html,0.0
202101270CLE,https://www.basketball-reference.com/boxscores/pbp/202101270CLE.html,Cleveland Cavaliers,Detroit Pistons,CLE,DET,A. Drummond,/players/d/drumman01.html,M. Plumlee,/players/p/plumlma01.html,A. Drummond,CLE,DET,C. Osman,/players/o/osmande01.html,CLE,DET,A. Drummond,/players/d/drumman01.html,M. Plumlee,/players/p/plumlma01.html,1.0
202101270ORL,https://www.basketball-reference.com/boxscores/pbp/202101270ORL.html,Orlando Magic,Sacramento Kings,ORL,SAC,N. Vučević,/players/v/vucevni01.html,R. Holmes,/players/h/holmeri01.html,M. Bagley,SAC,ORL,D. Fox,/players/f/foxde01.html,SAC,ORL,R. Holmes,/players/h/holmeri01.html,N. Vučević,/players/v/vucevni01.html,1.0
202101270ATL,https://www.basketball-reference.com/boxscores/pbp/202101270ATL.html,Atlanta Hawks,Brooklyn Nets,ATL,BRK,C. Capela,/players/c/capelca01.html,D. Jordan,/players/j/jordade01.html,T. Young,ATL,BRK,T. Young,/players/y/youngtr01.html,ATL,BRK,C. Capela,/players/c/capelca01.html,D. Jordan,/players/j/jordade01.html,1.0
202101270MIA,https://www.basketball-reference.com/boxscores/pbp/202101270MIA.html,Miami Heat,Denver Nuggets,MIA,DEN,B. Adebayo,/players/a/adebaba01.html,N. Jokić,/players/j/jokicni01.html,N. Jokić,DEN,MIA,P. Millsap,/players/m/millspa01.html,DEN,MIA,N. Jokić,/players/j/jokicni01.html,B. Adebayo,/players/a/adebaba01.html,1.0
202101270PHI,https://www.basketball-reference.com/boxscores/pbp/202101270PHI.html,Philadelphia 76ers,Los Angeles Lakers,PHI,LAL,J. Embiid,/players/e/embiijo01.html,A. Davis,/players/d/davisan02.html,B. Simmons,LAL,PHI,L. James,/players/j/jamesle01.html,PHI,LAL,A. Davis,/players/d/davisan02.html,J. Embiid,/players/e/embiijo01.html,0.0
202101270TOR,https://www.basketball-reference.com/boxscores/pbp/202101270TOR.html,Toronto Raptors,Milwaukee Bucks,TOR,MIL,A. Baynes,/players/b/baynear01.html,B. Lopez,/players/l/lopezbr01.html,D. DiVincenzo,MIL,TOR,G. Antetokounmpo,/players/a/antetgi01.html,MIL,TOR,B. Lopez,/players/l/lopezbr01.html,A. Baynes,/players/b/baynear01.html,1.0
202101270SAS,https://www.basketball-reference.com/boxscores/pbp/202101270SAS.html,San Antonio Spurs,Boston Celtics,SAS,BOS,L. Aldridge,/players/a/aldrila01.html,D. Theis,/players/t/theisda01.html,L. Aldridge,SAS,BOS,K. Johnson,/players/j/johnske04.html,SAS,BOS,L. Aldridge,/players/a/aldrila01.html,D. Theis,/players/t/theisda01.html,1.0
202101270NOP,https://www.basketball-reference.com/boxscores/pbp/202101270NOP.html,New Orleans Pelicans,Washington Wizards,NOP,WAS,S. Adams,/players/a/adamsst01.html,R. Lopez,/players/l/lopezro01.html,Z. Williamson,WAS,NOP,R. Neto,/players/n/netora01.html,NOP,WAS,R. Lopez,/players/l/lopezro01.html,S. Adams,/players/a/adamsst01.html,0.0
202101270PHO,https://www.basketball-reference.com/boxscores/pbp/202101270PHO.html,Phoenix Suns,Oklahoma City Thunder,PHO,OKC,D. Ayton,/players/a/aytonde01.html,A. Horford,/players/h/horfoal01.html,C. Paul,OKC,PHO,S. Gilgeous-Alexander,/players/g/gilgesh01.html,PHO,OKC,A. Horford,/players/h/horfoal01.html,D. Ayton,/players/a/aytonde01.html,0.0
202101270UTA,https://www.basketball-reference.com/boxscores/pbp/202101270UTA.html,Utah Jazz,Dallas Mavericks,UTA,DAL,R. Gobert,/players/g/goberru01.html,K. Porziņģis,/players/p/porzikr01.html,B. Bogdanović,UTA,DAL,R. O'Neale,/players/o/onealro01.html,UTA,DAL,R. Gobert,/players/g/goberru01.html,K. Porziņģis,/players/p/porzikr01.html,1.0
202101270GSW,https://www.basketball-reference.com/boxscores/pbp/202101270GSW.html,Golden State Warriors,Minnesota Timberwolves,GSW,MIN,K. Looney,/players/l/looneke01.html,N. Reid,/players/r/reidna01.html,N. Reid,GSW,MIN,D. Green,/players/g/greendr01.html,MIN,GSW,K. Looney,/players/l/looneke01.html,N. Reid,/players/r/reidna01.html,0.0
202101280HOU,https://www.basketball-reference.com/boxscores/pbp/202101280HOU.html,Houston Rockets,Portland Trail Blazers,HOU,POR,C. Wood,/players/w/woodch01.html,E. Kanter,/players/k/kanteen01.html,C. Anthony,HOU,POR,J. Wall,/players/w/walljo01.html,POR,HOU,C. Wood,/players/w/woodch01.html,E. Kanter,/players/k/kanteen01.html,0.0
202101280DET,https://www.basketball-reference.com/boxscores/pbp/202101280DET.html,Detroit Pistons,Los Angeles Lakers,DET,LAL,M. Plumlee,/players/p/plumlma01.html,M. Gasol,/players/g/gasolma01.html,K. Kuzma,DET,LAL,B. Griffin,/players/g/griffbl01.html,LAL,DET,M. Plumlee,/players/p/plumlma01.html,M. Gasol,/players/g/gasolma01.html,0.0
202101280MIA,https://www.basketball-reference.com/boxscores/pbp/202101280MIA.html,Miami Heat,Los Angeles Clippers,MIA,LAC,B. Adebayo,/players/a/adebaba01.html,S. Ibaka,/players/i/ibakase01.html,D. Robinson,MIA,LAC,K. Olynyk,/players/o/olynyke01.html,MIA,LAC,B. Adebayo,/players/a/adebaba01.html,S. Ibaka,/players/i/ibakase01.html,1.0
202101280PHO,https://www.basketball-reference.com/boxscores/pbp/202101280PHO.html,Phoenix Suns,Golden State Warriors,PHO,GSW,D. Ayton,/players/a/aytonde01.html,K. Looney,/players/l/looneke01.html,C. Paul,GSW,PHO,A. Wiggins,/players/w/wiggian01.html,PHO,GSW,K. Looney,/players/l/looneke01.html,D. Ayton,/players/a/aytonde01.html,0.0
202101290CHO,https://www.basketball-reference.com/boxscores/pbp/202101290CHO.html,Charlotte Hornets,Indiana Pacers,CHO,IND,C. Zeller,/players/z/zelleco01.html,M. Turner,/players/t/turnemy01.html,M. Brogdon,IND,CHO,J. Holiday,/players/h/holidju01.html,IND,CHO,M. Turner,/players/t/turnemy01.html,C. Zeller,/players/z/zelleco01.html,1.0
202101290WAS,https://www.basketball-reference.com/boxscores/pbp/202101290WAS.html,Washington Wizards,Atlanta Hawks,WAS,ATL,R. Lopez,/players/l/lopezro01.html,C. Capela,/players/c/capelca01.html,R. Westbrook,WAS,ATL,R. Westbrook,/players/w/westbru01.html,WAS,ATL,R. Lopez,/players/l/lopezro01.html,C. Capela,/players/c/capelca01.html,1.0
202101290NOP,https://www.basketball-reference.com/boxscores/pbp/202101290NOP.html,New Orleans Pelicans,Milwaukee Bucks,NOP,MIL,S. Adams,/players/a/adamsst01.html,B. Lopez,/players/l/lopezbr01.html,E. Bledsoe,NOP,MIL,Z. Williamson,/players/w/willizi01.html,NOP,MIL,S. Adams,/players/a/adamsst01.html,B. Lopez,/players/l/lopezbr01.html,1.0
202101290NYK,https://www.basketball-reference.com/boxscores/pbp/202101290NYK.html,New York Knicks,Cleveland Cavaliers,NYK,CLE,M. Robinson,/players/r/robinmi01.html,A. Drummond,/players/d/drumman01.html,L. Nance,CLE,NYK,D. Garland,/players/g/garlada01.html,CLE,NYK,A. Drummond,/players/d/drumman01.html,M. Robinson,/players/r/robinmi01.html,1.0
202101290TOR,https://www.basketball-reference.com/boxscores/pbp/202101290TOR.html,Toronto Raptors,Sacramento Kings,TOR,SAC,A. Baynes,/players/b/baynear01.html,R. Holmes,/players/h/holmeri01.html,A. Baynes,TOR,SAC,P. Siakam,/players/s/siakapa01.html,TOR,SAC,A. Baynes,/players/b/baynear01.html,R. Holmes,/players/h/holmeri01.html,1.0
202101290MIN,https://www.basketball-reference.com/boxscores/pbp/202101290MIN.html,Minnesota Timberwolves,Philadelphia 76ers,MIN,PHI,E. Davis,/players/d/davised01.html,J. Embiid,/players/e/embiijo01.html,A. Edwards,PHI,MIN,B. Simmons,/players/s/simmobe01.html,MIN,PHI,J. Embiid,/players/e/embiijo01.html,E. Davis,/players/d/davised01.html,0.0
202101290OKC,https://www.basketball-reference.com/boxscores/pbp/202101290OKC.html,Oklahoma City Thunder,Brooklyn Nets,OKC,BRK,A. Horford,/players/h/horfoal01.html,D. Jordan,/players/j/jordade01.html,A. Horford,OKC,BRK,S. Gilgeous-Alexander,/players/g/gilgesh01.html,OKC,BRK,A. Horford,/players/h/horfoal01.html,D. Jordan,/players/j/jordade01.html,1.0
202101290ORL,https://www.basketball-reference.com/boxscores/pbp/202101290ORL.html,Orlando Magic,Los Angeles Clippers,ORL,LAC,N. Vučević,/players/v/vucevni01.html,S. Ibaka,/players/i/ibakase01.html,E. Fournier,LAC,ORL,K. Leonard,/players/l/leonaka01.html,ORL,LAC,S. Ibaka,/players/i/ibakase01.html,N. Vučević,/players/v/vucevni01.html,0.0
202101290SAS,https://www.basketball-reference.com/boxscores/pbp/202101290SAS.html,San Antonio Spurs,Denver Nuggets,SAS,DEN,L. Aldridge,/players/a/aldrila01.html,N. Jokić,/players/j/jokicni01.html,D. Murray,SAS,DEN,K. Johnson,/players/j/johnske04.html,SAS,DEN,L. Aldridge,/players/a/aldrila01.html,N. Jokić,/players/j/jokicni01.html,1.0
202101290UTA,https://www.basketball-reference.com/boxscores/pbp/202101290UTA.html,Utah Jazz,Dallas Mavericks,UTA,DAL,R. Gobert,/players/g/goberru01.html,K. Porziņģis,/players/p/porzikr01.html,R. Gobert,UTA,DAL,R. O'Neale,/players/o/onealro01.html,UTA,DAL,R. Gobert,/players/g/goberru01.html,K. Porziņģis,/players/p/porzikr01.html,1.0
202101300CHI,https://www.basketball-reference.com/boxscores/pbp/202101300CHI.html,Chicago Bulls,Portland Trail Blazers,CHI,POR,D. Gafford,/players/g/gaffoda01.html,E. Kanter,/players/k/kanteen01.html,P. Williams,CHI,POR,L. Markkanen,/players/m/markkla01.html,CHI,POR,D. Gafford,/players/g/gaffoda01.html,E. Kanter,/players/k/kanteen01.html,1.0
202101300CHO,https://www.basketball-reference.com/boxscores/pbp/202101300CHO.html,Charlotte Hornets,Milwaukee Bucks,CHO,MIL,C. Zeller,/players/z/zelleco01.html,B. Lopez,/players/l/lopezbr01.html,J. Holiday,MIL,CHO,G. Antetokounmpo,/players/a/antetgi01.html,MIL,CHO,B. Lopez,/players/l/lopezbr01.html,C. Zeller,/players/z/zelleco01.html,1.0
202101300MIA,https://www.basketball-reference.com/boxscores/pbp/202101300MIA.html,Miami Heat,Sacramento Kings,MIA,SAC,B. Adebayo,/players/a/adebaba01.html,R. Holmes,/players/h/holmeri01.html,T. Herro,MIA,SAC,D. Robinson,/players/r/robindu01.html,MIA,SAC,B. Adebayo,/players/a/adebaba01.html,R. Holmes,/players/h/holmeri01.html,1.0
202101300NOP,https://www.basketball-reference.com/boxscores/pbp/202101300NOP.html,New Orleans Pelicans,Houston Rockets,NOP,HOU,S. Adams,/players/a/adamsst01.html,C. Wood,/players/w/woodch01.html,S. Adams,NOP,HOU,Z. Williamson,/players/w/willizi01.html,NOP,HOU,S. Adams,/players/a/adamsst01.html,C. Wood,/players/w/woodch01.html,1.0
202101300BOS,https://www.basketball-reference.com/boxscores/pbp/202101300BOS.html,Boston Celtics,Los Angeles Lakers,BOS,LAL,D. Theis,/players/t/theisda01.html,A. Davis,/players/d/davisan02.html,J. Tatum,LAL,BOS,L. James,/players/j/jamesle01.html,BOS,LAL,A. Davis,/players/d/davisan02.html,D. Theis,/players/t/theisda01.html,0.0
202101300SAS,https://www.basketball-reference.com/boxscores/pbp/202101300SAS.html,San Antonio Spurs,Memphis Grizzlies,SAS,MEM,L. Aldridge,/players/a/aldrila01.html,X. Tillman,/players/t/tillmxa01.html,L. Aldridge,MEM,SAS,D. Brooks,/players/b/brookdi01.html,SAS,MEM,X. Tillman,/players/t/tillmxa01.html,L. Aldridge,/players/a/aldrila01.html,0.0
202101300DAL,https://www.basketball-reference.com/boxscores/pbp/202101300DAL.html,Dallas Mavericks,Phoenix Suns,DAL,PHO,W. Cauley-Stein,/players/c/caulewi01.html,D. Ayton,/players/a/aytonde01.html,T. Hardaway,DAL,PHO,L. Dončić,/players/d/doncilu01.html,DAL,PHO,W. Cauley-Stein,/players/c/caulewi01.html,D. Ayton,/players/a/aytonde01.html,1.0
202101300GSW,https://www.basketball-reference.com/boxscores/pbp/202101300GSW.html,Golden State Warriors,Detroit Pistons,GSW,DET,K. Looney,/players/l/looneke01.html,M. Plumlee,/players/p/plumlma01.html,K. Oubre,GSW,DET,D. Green,/players/g/greendr01.html,GSW,DET,K. Looney,/players/l/looneke01.html,M. Plumlee,/players/p/plumlma01.html,1.0
202101310NYK,https://www.basketball-reference.com/boxscores/pbp/202101310NYK.html,New York Knicks,Los Angeles Clippers,NYK,LAC,M. Robinson,/players/r/robinmi01.html,S. Ibaka,/players/i/ibakase01.html,R. Barrett,NYK,LAC,J. Randle,/players/r/randlju01.html,NYK,LAC,M. Robinson,/players/r/robinmi01.html,S. Ibaka,/players/i/ibakase01.html,1.0
